"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2021","3,827.50","3,817.17","3,837.80","3,808.53","1.34K","0.27%"
"09/16/2021","3,817.17","3,815.00","3,827.85","3,802.71","1.20K","0.06%"
"09/15/2021","3,815.00","3,830.49","3,835.00","3,806.85","0.96K","-0.40%"
"09/14/2021","3,830.49","3,830.60","3,835.85","3,814.96","1.05K","0.00%"
"09/13/2021","3,830.60","3,835.00","3,841.50","3,821.69","0.98K","-0.11%"
"09/10/2021","3,835.00","3,843.70","3,844.70","3,823.56","1.21K","-0.23%"
"09/09/2021","3,843.70","3,816.55","3,843.70","3,811.35","0.91K","0.71%"
"09/08/2021","3,816.55","3,800.00","3,822.50","3,798.20","0.97K","0.44%"
"09/07/2021","3,800.00","3,800.00","3,820.45","3,792.40","1.20K","0.00%"
"09/06/2021","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"09/03/2021","3,800.00","3,795.00","3,808.00","3,773.00","1.19K","0.13%"
"09/02/2021","3,795.00","3,760.00","3,800.80","3,753.09","1.10K","0.93%"
"09/01/2021","3,760.00","3,769.15","3,771.15","3,738.90","1.39K","-0.24%"
"08/31/2021","3,769.15","3,815.12","3,815.12","3,759.87","1.37K","-1.25%"
"08/30/2021","3,816.75","3,829.01","3,829.01","3,797.00","1.07K","-0.32%"
"08/27/2021","3,829.01","3,869.85","3,869.85","3,821.45","0.98K","-1.00%"
"08/26/2021","3,867.75","3,865.50","3,880.00","3,861.09","1.26K","0.06%"
"08/25/2021","3,865.50","3,867.00","3,877.20","3,852.97","1.26K","-0.04%"
"08/24/2021","3,867.00","3,881.95","3,881.95","3,849.05","1.50K","-0.39%"
"08/23/2021","3,881.95","3,872.00","3,881.95","3,847.00","1.18K","0.26%"
"08/20/2021","3,872.00","3,868.40","3,887.00","3,861.29","1.36K","0.04%"
"08/19/2021","3,870.40","3,851.50","3,892.00","3,845.07","1.24K","0.49%"
"08/18/2021","3,851.50","3,880.00","3,886.65","3,849.45","1.20K","-0.73%"
"08/17/2021","3,880.00","3,842.20","3,885.00","3,842.20","0.88K","0.98%"
"08/16/2021","3,842.20","3,842.20","3,850.00","3,835.76","0.49K","0.00%"
"08/13/2021","3,842.20","3,859.00","3,859.00","3,813.50","0.99K","-0.44%"
"08/12/2021","3,859.00","3,942.20","3,947.85","3,848.01","1.28K","-2.11%"
"08/11/2021","3,942.20","3,968.00","3,972.61","3,942.00","3.90K","-0.65%"
"08/10/2021","3,968.00","3,997.35","4,007.50","3,958.00","1.24K","-0.73%"
"08/09/2021","3,997.35","3,967.10","3,999.00","3,955.27","0.95K","0.76%"
"08/06/2021","3,967.10","3,918.00","3,972.00","3,904.00","1.51K","1.25%"
"08/05/2021","3,918.00","3,903.00","3,920.00","3,895.00","1.52K","0.38%"
"08/04/2021","3,903.00","3,909.75","3,925.56","3,888.60","1.35K","-0.17%"
"08/03/2021","3,909.75","3,891.50","3,926.69","3,886.00","3.85K","0.47%"
"08/02/2021","3,891.50","3,878.00","3,896.56","3,835.70","4.42K","0.35%"
"07/30/2021","3,878.00","3,847.60","3,886.40","3,841.31","3.70K","0.79%"
"07/29/2021","3,847.60","3,871.50","3,875.00","3,827.15","4.06K","-0.67%"
"07/28/2021","3,873.50","3,934.00","3,938.90","3,873.00","3.24K","-1.49%"
"07/27/2021","3,932.00","3,913.50","3,939.70","3,897.00","1.09K","0.47%"
"07/26/2021","3,913.50","3,889.00","3,918.13","3,889.00","4.45K","0.63%"
"07/23/2021","3,889.00","3,870.20","3,890.00","3,858.00","3.17K","0.49%"
"07/22/2021","3,870.20","3,855.00","3,880.03","3,848.05","5.54K","0.39%"
"07/21/2021","3,855.00","3,835.50","3,872.20","3,835.50","4.36K","0.51%"
"07/20/2021","3,835.50","3,835.50","3,850.56","3,834.80","2.96K","0.00%"
"07/19/2021","3,835.50","3,817.60","3,859.21","3,817.60","2.97K","0.47%"
"07/16/2021","3,817.60","3,816.02","3,822.68","3,799.50","3.26K","0.04%"
"07/15/2021","3,816.02","3,794.02","3,820.05","3,794.02","4.97K","0.58%"
"07/14/2021","3,794.02","3,823.20","3,823.20","3,786.90","5.46K","-0.76%"
"07/13/2021","3,823.20","3,822.10","3,836.95","3,812.90","0.88K","0.03%"
"07/12/2021","3,822.10","3,831.00","3,842.00","3,815.00","4.44K","-0.23%"
"07/09/2021","3,831.00","3,841.00","3,844.90","3,812.05","0.81K","-0.26%"
"07/08/2021","3,841.00","3,832.00","3,864.50","3,832.00","4.42K","0.23%"
"07/07/2021","3,832.00","3,779.50","3,836.44","3,771.95","3.36K","1.39%"
"07/06/2021","3,779.50","3,743.00","3,800.00","3,738.77","1.06K","1.00%"
"07/05/2021","3,742.00","3,742.00","3,742.00","3,742.00","","0.00%"
"07/02/2021","3,742.00","3,779.00","3,799.00","3,742.00","0.50K","-0.95%"
"07/01/2021","3,778.00","3,749.00","3,792.00","3,724.80","4.17K","0.75%"
"06/30/2021","3,750.00","3,767.50","3,774.80","3,728.80","4.72K","-0.46%"
"06/29/2021","3,767.50","3,703.00","3,777.00","3,703.00","4.40K","1.74%"
"06/28/2021","3,703.00","3,745.15","3,753.63","3,702.80","6.15K","-1.13%"
"06/25/2021","3,745.15","3,766.25","3,775.00","3,724.70","3.53K","-0.56%"
"06/24/2021","3,766.25","3,784.05","3,784.05","3,753.50","4.47K","-0.47%"
"06/23/2021","3,784.05","3,782.10","3,789.99","3,749.35","1.16K","0.05%"
"06/22/2021","3,782.10","3,760.05","3,798.00","3,760.05","1.04K","0.59%"
"06/21/2021","3,760.05","3,769.00","3,769.00","3,740.00","0.87K","-0.24%"
